scale_N,scale_K,network_state,rng_seed,num_nodes,threads_per_task,tasks_per_node,model_time_sim,model_time_presim,use_inter_area_axonal_delay,time_collocate_spike_data,time_collocate_spike_data_cpu,time_communicate_prepare,time_communicate_prepare_cpu,time_communicate_spike_data,time_communicate_spike_data_cpu,time_communicate_target_data,time_communicate_target_data_cpu,time_construction_connect,time_construction_connect_cpu,time_construction_create,time_construction_create_cpu,time_deliver_secondary_data,time_deliver_secondary_data_cpu,time_deliver_spike_data,time_deliver_spike_data_cpu,time_gather_secondary_data,time_gather_secondary_data_cpu,time_gather_spike_data,time_gather_spike_data_cpu,time_gather_target_data,time_gather_target_data_cpu,time_omp_synchronization_construction,time_omp_synchronization_construction_cpu,time_omp_synchronization_simulation,time_omp_synchronization_simulation_cpu,time_mpi_synchronization,time_mpi_synchronization_cpu,time_simulate,time_simulate_cpu,time_communicate_prepare_mean,time_communicate_prepare_cpu_mean,time_update_mean,time_update_cpu_mean,time_construction_connect_mean,time_construction_connect_cpu_mean,time_deliver_secondary_data_mean,time_deliver_secondary_data_cpu_mean,time_deliver_spike_data_mean,time_deliver_spike_data_cpu_mean,time_gather_target_data_mean,time_gather_target_data_cpu_mean,time_omp_synchronization_construction_mean,time_omp_synchronization_construction_cpu_mean,time_omp_synchronization_simulation_mean,time_omp_synchronization_simulation_cpu_mean,py_time_kernel_prepare,py_time_network_local,py_time_network_global,py_time_simulate,py_time_presimulate,py_time_network_prepare,py_time_create,py_time_connect_area,py_time_connect_cc,py_time_connect,time_sort_connections,time_sort_connections_cpu,time_sort_connections_mean,time_sort_connections_cpu_mean,base_memory,network_memory,init_memory,total_memory,num_connections,local_spike_counter,base_memory_rss,base_memory_peak,network_memory_rss,network_memory_peak,init_memory_rss,init_memory_peak,total_memory_rss,total_memory_peak,num_corrections
1.0,1.0,metastable,654,4,64,2,10000.0,500.0,False,14.494916374875,14.941356412,,,270.28655161700004,281.155325318,0.079780963875,0.07021511125,298.04888848325,294.24004650399996,0.298781436375,0.288774262625,,,555.5392570122499,,0.0,0.0,285.42730945275,296.730561516875,,,,,,,0.0,0.0,1278.2791269555,1321.7155338438752,,,416.94310843913865,,,,,,520.6987582189395,,,,,,,,0.04453536868095398,295.9181339740753,176.76926046609879,1278.2848174273968,59.357797771692276,106.61257085204124,115.14270505309105,180.759409815073,176.76920694112778,464.14118760824203,,,,,6675912.0,1256081520.0,1514114036.0,1514114036.0,24130646652.0,497349019.0,,,,,,,,,0.0
1.0,1.0,metastable,654,8,64,2,10000.0,500.0,False,12.9767251038125,13.466750419562501,,,136.59109084587502,148.2094107191875,0.16982376581249997,0.1397630958125,146.4068908663125,144.646194563125,0.21909785025,0.215286191875,,,288.62059197725,,0.0,0.0,150.134908328,162.2403858865625,,,,,,,0.0,0.0,657.193645171375,690.5548414543125,,,198.2028004551006,,,,,,265.3319881351396,,,,,,,,0.044647857546806335,186.00586053729057,111.63222543895245,657.2803057581186,42.3520690202713,108.10610303282738,91.31995284557343,94.67105731368065,111.6321741938591,314.4093345403671,,,,,13333396.0,1259013312.0,1553591828.0,1553591828.0,24130646652.0,466446679.0,,,,,,,,,0.0
1.0,1.0,metastable,654,12,64,2,10000.0,500.0,False,13.994955664499999,14.240642572375,,,112.83262428625001,118.77097678770834,0.15027688104166667,0.11760886108333335,107.64024003700001,106.43057688966667,0.19505961399999996,0.19216128941666666,,,243.32402310237498,,0.0,0.0,127.38713635958334,133.572191656,,,,,,,0.0,0.0,497.848023340875,513.4963981430833,,,110.73878119479362,,,,,,234.86371659899154,,,,,,,,0.04448119799296061,141.46386640270552,100.39201138416927,497.9557260076205,22.328238010406494,105.23884806036949,75.02976127465566,66.4196228782336,100.39195980628331,272.0504307448864,,,,,19998060.0,1125921288.0,1666183264.0,1666183264.0,24130646652.0,570269188.0,,,,,,,,,0.0
1.0,1.0,metastable,654,16,64,2,10000.0,500.0,False,12.11883563553125,12.246553451375,,,115.51555867578125,119.21290396134376,0.644786603,0.5914804366875,89.08102483409374,87.973255270125,0.17642485815625003,0.1739003653125,,,179.10695239128125,,0.0,0.0,128.14568885221877,131.97439753965625,,,,,,,0.0,0.0,387.67355232053126,395.7112790398437,,,67.4862011659585,,,,,,174.7793678100586,,,,,,,,0.04427313804626465,118.77469704300165,97.41553045809269,387.70132771879435,13.027270719408989,98.92505470663309,64.99522662907839,53.76408300548792,97.41547206789255,250.10460978001356,,,,,26686252.0,1265811660.0,1879701756.0,1879701756.0,24130646652.0,524139921.0,,,,,,,,,0.0
1.0,1.0,metastable,654,24,64,2,10000.0,500.0,False,9.199030301416666,9.292312375208335,,,94.12413228227085,96.507312715,0.6201970549375,0.5603424425,73.15253410568751,72.24084176072917,0.16367707075000001,0.1600445565416667,,,118.07028500622918,,0.0,0.0,103.79302229989582,106.27742405049999,,,,,,,0.0,0.0,266.1981542974375,270.77762709335417,,,34.926348998215495,,,,,,116.45614904471059,,,,,,,,0.04424157738685608,90.20967061320941,98.32796296974023,266.20045132935047,8.603144283095995,90.11602480212848,49.13292176524798,41.06171869238218,98.32791095972061,229.50565445423126,,,,,40023760.0,1341350180.0,2047532960.0,2047532960.0,24130646652.0,434786557.0,,,,,,,,,0.0
1.0,1.0,metastable,654,32,64,2,10000.0,500.0,False,10.160527157843749,10.47044031115625,,,104.97024574464062,108.44850255648439,0.838295749,0.56930983371875,65.45231296148437,64.65335672754688,0.15163094995312498,0.14895543825000002,,,110.98838714420313,,0.0,0.0,115.60540420243751,119.39767289732814,,,,,,,0.0,0.0,258.7030969816094,266.1067283961406,,,25.221103434941405,,,,,,109.39779180158058,,,,,,,,0.04484473913908005,72.43466190621257,100.18696426227689,258.7471021451056,11.507771544158459,78.63877234980464,38.369195234030485,34.050789784640074,100.18691740557551,212.87647954002023,,,,,53360236.0,1270163608.0,2330721448.0,2330721448.0,24130646652.0,511222320.0,,,,,,,,,0.0
1.0,1.0,metastable,654,4,64,2,10000.0,500.0,True,14.446048887125,14.900592338625,,,131.73080131799998,138.2775194455,0.087994122125,0.074601371125,297.379751486375,293.66104317325,0.299669133,0.289778032375,,,551.65028103725,,0.0,0.0,146.85657952325,153.85432278312499,,,,,,,0.0,0.0,1146.92248174875,1186.79760143575,,,419.42680135421097,,,,,,518.5920076345038,,,,,,,,0.044527679681777954,290.940683811903,176.82209822535515,1146.9276688098907,54.91922906041145,108.61457154154778,114.6848535835743,176.23815456032753,176.82204779982567,461.674773901701,,,,,6670780.0,1256083124.0,1514042060.0,1514042060.0,24130646652.0,497349019.0,,,,,,,,,0.0
1.0,1.0,metastable,654,8,64,2,10000.0,500.0,True,12.9393298779375,13.4169976449375,,,122.1193287210625,130.386386150875,0.1757037113125,0.14290224125,146.2108683175625,144.43066330375,0.2198480008125,0.21630097181250002,,,296.4674156275625,,0.0,0.0,135.6264077709375,144.367878361375,,,,,,,0.0,0.0,659.9617204000626,691.9545252444375,,,206.88000191620995,,,,,,269.3188753898477,,,,,,,,0.04426981508731842,186.55965192615986,110.40548305213451,659.964994803071,41.39501449465752,108.61888553202152,91.18638604879379,95.35756430029869,110.40543133020401,314.3818811625242,,,,,13321100.0,1259016020.0,1553294244.0,1553294244.0,24130646652.0,466446679.0,,,,,,,,,0.0
1.0,1.0,metastable,654,12,64,2,10000.0,500.0,True,13.955884871208333,14.20790474525,,,124.82393105079167,131.350159991,0.5858542579166667,0.5534305165416668,107.64463047004166,106.426118744125,0.193000424375,0.18958994091666667,,,241.94464007566668,,0.0,0.0,139.33378121083334,146.10965682766667,,,,,,,0.0,0.0,510.5947181215417,526.5165796500416,,,110.67678396720181,,,,,,234.89382481145967,,,,,,,,0.04492326577504476,143.60516342520714,100.49215401212375,510.6905882159869,22.724514712889988,108.29178723692894,75.5976338883241,67.99317437410355,100.49209945400555,276.777061065038,,,,,20007276.0,1125913228.0,1666186600.0,1666186600.0,24130646652.0,570269188.0,,,,,,,,,0.0
1.0,1.0,metastable,654,16,64,2,10000.0,500.0,True,12.16274565684375,12.288408197468751,,,111.65608561753125,113.84246303203125,0.326313078125,0.27506352928125,88.9437705255625,87.86317087253124,0.177623787375,0.17354152396875,,,180.61374657203123,,0.0,0.0,124.33050784175,126.6475537785,,,,,,,0.0,0.0,384.8194323201875,391.19116166015624,,,66.10494832676073,,,,,,177.44712133275976,,,,,,,,0.04465913027524948,117.40557661652565,96.92593030631542,385.02563139796257,11.538715317845345,98.8627076819539,64.9433880969882,52.44756434112787,96.92586597055197,248.23613799363375,,,,,26670860.0,1265807644.0,1879695956.0,1879695956.0,24130646652.0,524139921.0,,,,,,,,,0.0
