scale_N,scale_K,network_state,rng_seed,num_nodes,threads_per_task,tasks_per_node,model_time_sim,model_time_presim,use_inter_area_axonal_delay,time_collocate_spike_data,time_collocate_spike_data_cpu,time_communicate_prepare,time_communicate_prepare_cpu,time_communicate_spike_data,time_communicate_spike_data_cpu,time_communicate_target_data,time_communicate_target_data_cpu,time_construction_connect,time_construction_connect_cpu,time_construction_create,time_construction_create_cpu,time_deliver_secondary_data,time_deliver_secondary_data_cpu,time_deliver_spike_data,time_deliver_spike_data_cpu,time_gather_secondary_data,time_gather_secondary_data_cpu,time_gather_spike_data,time_gather_spike_data_cpu,time_gather_target_data,time_gather_target_data_cpu,time_omp_synchronization_construction,time_omp_synchronization_construction_cpu,time_omp_synchronization_simulation,time_omp_synchronization_simulation_cpu,time_mpi_synchronization,time_mpi_synchronization_cpu,time_simulate,time_simulate_cpu,time_communicate_prepare_mean,time_communicate_prepare_cpu_mean,time_update_mean,time_update_cpu_mean,time_construction_connect_mean,time_construction_connect_cpu_mean,time_deliver_secondary_data_mean,time_deliver_secondary_data_cpu_mean,time_deliver_spike_data_mean,time_deliver_spike_data_cpu_mean,time_gather_target_data_mean,time_gather_target_data_cpu_mean,time_omp_synchronization_construction_mean,time_omp_synchronization_construction_cpu_mean,time_omp_synchronization_simulation_mean,time_omp_synchronization_simulation_cpu_mean,py_time_kernel_prepare,py_time_network_local,py_time_network_global,py_time_simulate,py_time_presimulate,py_time_network_prepare,py_time_create,py_time_connect_area,py_time_connect_cc,py_time_connect,time_sort_connections,time_sort_connections_cpu,time_sort_connections_mean,time_sort_connections_cpu_mean,base_memory,network_memory,init_memory,total_memory,num_connections,local_spike_counter,base_memory_rss,base_memory_peak,network_memory_rss,network_memory_peak,init_memory_rss,init_memory_peak,total_memory_rss,total_memory_peak,num_corrections
1.0,1.0,ground,91856,12,64,2,10000.0,500.0,False,3.4319718715416663,3.5677366051666666,,,67.24649550429166,69.80791446158334,0.19594568541666668,0.16731571245833332,56.887361651499994,56.11556837479167,0.18590789770833335,0.182469419625,,,70.20737636229167,,0.0,0.0,71.101773534125,73.8060376525,,,,,,,0.0,0.0,224.9280317536667,233.27033050658335,,,73.35915794113542,,,,,,67.91514063285483,,,,,,,,0.04474539558092753,93.70962915817897,96.93491259217262,224.947410573562,11.748581240574518,100.64783476789792,75.56062297026317,18.135357797145844,96.93486832578976,215.71806089083353,,,,,20003020.0,1125916356.0,1667892584.0,1667892584.0,24130646652.0,109172155.0,,,,,,,,,
1.0,1.0,metastable,654,16,64,2,10000.0,500.0,False,12.17180843321875,12.300328590124998,,,112.12488833015625,115.25512804146875,0.22255457728125,0.1751905230625,49.56579515109375,48.92848276509375,0.16872028225000002,0.16539142471874999,,,178.57067204890626,,0.0,0.0,124.8154733003125,128.0619999081875,,,,,,,0.0,0.0,379.8839332791875,387.1847106700625,,,62.909000336669436,,,,,,176.26702217009228,,,,,,,,0.04550107568502426,78.25354094803333,93.96978116035461,379.8963260576129,12.380798764526844,94.87532206624746,63.47525879740715,14.765536367893219,93.96973175555468,203.61059018969536,,,,,26663184.0,1265813720.0,1879659024.0,1879659024.0,24130646652.0,524139921.0,,,,,,,,,
1.0,1.0,metastable,12,16,64,2,10000.0,500.0,False,17.26186256203125,17.67760222025,,,109.82243410484375,115.89412531090625,0.6230781882812501,0.57088057815625,49.774178555,49.117619586718746,0.17151194715624998,0.16843656943750002,,,244.16703870721875,,0.0,0.0,127.64603002478124,134.11664951265624,,,,,,,0.0,0.0,456.7946925535625,473.0951783817187,,,70.51128215030225,,,,,,239.13912833137402,,,,,,,,0.04527845233678818,80.57144404947758,94.68333624303341,456.8141265362501,22.58174167573452,95.32302128523588,63.52621229737997,17.031498983502388,94.6832869425416,207.03780721127987,,,,,26646820.0,1265798068.0,1879654768.0,1879654768.0,24130646652.0,773807943.0,,,,,,,,,
1.0,1.0,metastable,91856,16,64,2,10000.0,500.0,False,11.30394052015625,11.381962327093749,,,119.69557485734376,122.0210691599375,0.324552260875,0.27598597940625,49.78323182053125,49.137889485562496,0.1701695154375,0.16728893640625,,,170.4331506829375,,0.0,0.0,131.50894250253126,133.90221340568752,,,,,,,0.0,0.0,376.93530193540624,382.5631816503437,,,60.98022407366357,,,,,,167.619716836478,,,,,,,,0.044426970183849335,79.49919028580189,95.68568357825279,376.93871957808733,10.774086512625217,94.90517584234476,63.664578936994076,15.822309456765652,95.68563406914473,206.41311936825514,,,,,26660096.0,1265793972.0,1879817388.0,1879817388.0,24130646652.0,485414574.0,,,,,,,,,
1.0,1.0,ground,654,16,64,2,10000.0,500.0,False,2.9310766145625,3.0399710487812497,,,60.5487726604375,63.19823769196876,0.5294026549375,0.4842465683125,49.78061480078125,49.128752038375,0.16978051087499998,0.16694600246875,,,57.661845091625,,0.0,0.0,63.8867309018125,66.6459893880625,,,,,,,0.0,0.0,179.52624209334374,186.544602395125,,,46.07406074473242,,,,,,57.280728092690424,,,,,,,,0.044860005378723145,79.19939797371626,95.92583617568016,179.54029139876366,9.803805261850357,95.29553301632404,63.61129637807608,15.575919464230537,95.92578602582216,206.79723850637674,,,,,26630432.0,1265798632.0,1879667096.0,1879667096.0,24130646652.0,109011412.0,,,,,,,,,
1.0,1.0,ground,12,16,64,2,10000.0,500.0,False,2.94521912090625,3.0533561439687498,,,61.624986369812504,64.084893675125,0.26731110434375005,0.21931308078125,49.663010141281255,49.0152111215,0.16885276903125,0.16576174328125,,,57.4046304548125,,0.0,0.0,64.9784218028125,67.549373524625,,,,,,,0.0,0.0,179.03103905440622,185.5204279516875,,,45.921917700535154,,,,,,56.49086868369483,,,,,,,,0.04682526737451553,78.80836299061775,94.04843294620514,179.04524275660515,9.337767757475376,94.98462244868279,63.62478171288967,15.171650856733322,94.0483822748065,204.2046555802226,,,,,26668292.0,1265799628.0,1879658148.0,1879658148.0,24130646652.0,109031977.0,,,,,,,,,
1.0,1.0,ground,91856,16,64,2,10000.0,500.0,False,2.9428758385,3.0511305706875005,,,57.20482797209375,59.77236086071875,0.4136311386875,0.36614551281249996,49.683395311125,49.04006072721875,0.170851078,0.1678426945,,,55.32806755140625,,0.0,0.0,60.55007196709375,63.233009338375,,,,,,,0.0,0.0,171.518258624875,178.17211085875,,,45.85491302621631,,,,,,54.07330784578906,,,,,,,,0.04424501955509186,78.80015971511602,94.66639845818281,171.59628977626562,9.263926446437836,94.28109443187714,63.4663769826293,15.320755176246166,94.66635369509459,204.2682033032179,,,,,26667284.0,1265802396.0,1879660768.0,1879660768.0,24130646652.0,109148733.0,,,,,,,,,
1.0,1.0,metastable,654,24,64,2,10000.0,500.0,False,9.108566724583333,9.207411206125,,,98.5441277911875,101.00974396189584,0.6241508327291666,0.5654639374791667,46.1866672604375,45.617734929083326,0.15492357683333333,0.15243986789583333,,,121.32152025391667,,0.0,0.0,108.13666517333331,110.6961534665625,,,,,,,0.0,0.0,273.58350193641667,278.28809183695836,,,34.32332533069563,,,,,,119.68606229459245,,,,,,,,0.04410318533579508,63.57432939608892,95.78722696999709,273.6067750652631,8.88099780678749,85.78290729224682,48.27816737691561,15.283980558315912,95.78718063235283,196.85406848291555,,,,,40023488.0,1341278644.0,2047600972.0,2047600972.0,24130646652.0,434786557.0,,,,,,,,,
1.0,1.0,metastable,12,24,64,2,10000.0,500.0,False,10.672709867354166,11.118218604708332,,,102.50588846808334,106.88743915254167,0.3370533490625,0.277811573,46.116714464625,45.53547303610417,0.15172492160416665,0.14940448658333333,,,134.810860278,,0.0,0.0,113.67593699552083,118.49953949285418,,,,,,,0.0,0.0,293.09568309264586,304.6387593466875,,,35.96834827115495,,,,,,132.71700010583626,,,,,,,,0.04441144565741221,61.94298627972603,95.83503659069538,293.10051884750527,15.936358769734701,85.99862271547318,48.18001498778661,13.749457011620203,95.83499430616696,195.58307403326035,,,,,40016324.0,1341275676.0,2047464704.0,2047464704.0,24130646652.0,511761972.0,,,,,,,,,
1.0,1.0,metastable,91856,24,64,2,10000.0,500.0,False,12.307838182479166,12.508954183583334,,,106.47885199254165,109.66627360247918,0.44072312727083335,0.3819454059791667,46.16778401654167,45.58112385329167,0.15172477970833334,0.14944957591666666,,,147.85231840572916,,0.0,0.0,119.30260800175,122.68318334241667,,,,,,,0.0,0.0,312.9221809497083,319.84414089924996,,,36.785130848794275,,,,,,145.33702352196778,,,,,,,,0.04467116296291351,63.24092854062716,96.54726056754589,312.94733822345734,11.622061068813005,85.31318221986294,48.33803316950798,14.890700722734133,96.54721002280712,196.75109296540418,,,,,39999908.0,1341298372.0,2047477824.0,2047477824.0,24130646652.0,577295920.0,,,,,,,,,
